,virus,serum,fraction infectivity,concentration,replicate
16,PV,17C7,6.910865954540324e-05,500.0,3
17,PV,17C7,-6.910865954540324e-05,100.0,3
18,PV,17C7,0.00013821731909080648,20.0,3
19,PV,17C7,0.05445762372177775,4.0,3
20,PV,17C7,0.40225847099394374,0.8,3
21,PV,17C7,0.7633972895583726,0.16,3
22,PV,17C7,0.7868481613641127,0.032,3
23,PV,17C7,0.995233806113352,0.0064,3
24,PV,17C7,9.214487939387099e-05,500.0,4
25,PV,17C7,-2.3036219848467747e-05,100.0,4
26,PV,17C7,0.0,20.0,4
27,PV,17C7,0.04217931854254444,4.0,4
28,PV,17C7,0.298549409236142,0.8,4
29,PV,17C7,0.6909483781349416,0.16,4
30,PV,17C7,0.8149753857990919,0.032,4
31,PV,17C7,0.7824712795929039,0.0064,4
32,PV,CTB012,0.0023727306443921776,600.0,5
33,PV,CTB012,0.019073990034531293,120.0,5
34,PV,CTB012,0.04669441763284412,24.0,5
35,PV,CTB012,0.16530791363260453,4.8,5
36,PV,CTB012,0.6631206245579925,0.96,5
37,PV,CTB012,0.6831851720460079,0.192,5
38,PV,CTB012,0.7001398298544802,0.0384,5
39,PV,CTB012,0.8683503071879917,0.00768,5
40,PV,CTB012,0.008016604507266776,600.0,6
41,PV,CTB012,0.03932282728133444,120.0,6
42,PV,CTB012,0.06883222490722163,24.0,6
43,PV,CTB012,0.16703563012123962,4.8,6
44,PV,CTB012,0.34713279689656046,0.96,6
45,PV,CTB012,0.6381493622422535,0.192,6
46,PV,CTB012,0.8132707055303052,0.0384,6
47,PV,CTB012,0.6874929451576713,0.00768,6
48,PV,RVC20,-0.00013821731909080648,1000.0,7
49,PV,RVC20,0.0,200.0,7
50,PV,RVC20,0.011287747725749196,40.0,7
51,PV,RVC20,0.04213324610284751,8.0,7
52,PV,RVC20,0.3935968523309199,1.6,7
53,PV,RVC20,0.6491837115496695,0.32,7
54,PV,RVC20,0.6688105708605641,0.064,7
55,PV,RVC20,0.794887802091228,0.0128,7
56,PV,RVC20,-2.3036219848467747e-05,1000.0,8
57,PV,RVC20,-9.214487939387099e-05,200.0,8
58,PV,RVC20,6.910865954540324e-05,40.0,8
59,PV,RVC20,0.03317215658179355,8.0,8
60,PV,RVC20,0.29357358574887293,1.6,8
61,PV,RVC20,0.5918235241269848,0.32,8
62,PV,RVC20,0.7885758778527479,0.064,8
63,PV,RVC20,0.6432864392684617,0.0128,8
64,PV,RVC58,-4.607243969693549e-05,1000.0,9
65,PV,RVC58,-4.607243969693549e-05,200.0,9
66,PV,RVC58,4.607243969693549e-05,40.0,9
67,PV,RVC58,-6.910865954540324e-05,8.0,9
68,PV,RVC58,0.13888536946641203,1.6,9
69,PV,RVC58,0.49467978502599635,0.32,9
70,PV,RVC58,0.6442078880624005,0.064,9
71,PV,RVC58,0.7578685967947404,0.0128,9
72,PV,RVC58,-6.910865954540324e-05,1000.0,10
73,PV,RVC58,0.0,200.0,10
74,PV,RVC58,-6.910865954540324e-05,40.0,10
75,PV,RVC58,2.3036219848467747e-05,8.0,10
76,PV,RVC58,0.048237844362691455,1.6,10
77,PV,RVC58,0.5383794940785397,0.32,10
78,PV,RVC58,0.6779329139205573,0.064,10
79,PV,RVC58,0.7191216750096175,0.0128,10
